national_segment_id,segment_bundle_id,stitch_group_id,current_zone_id,current_tier,route_label,zone_id,route,state_scope,evidence_state_scope,geometry_state_scope,segment_aliases,bundle_aliases,board_layers,source_artifacts,stop_placement_status,bundle_role,member_segment_ids,registry_action,validation_status
US.HWYSEG.9CC783DC10417028,US.HWYBUNDLE.9CC783DC10417028,US.HWYSTITCH.9CC783DC10417028,t3-southeast,T3,I24,t3-southeast,I24,IL;KY;TN,IL;KY;TN,,current-tier:T3;current-zone:t3-southeast;layer:selected-route;route-label:I24;route:I24;zone-route:t3-southeast:I24,current-tier:T3;current-zone:t3-southeast;layer:selected-route;route-label:I24;route:I24;zone-route:t3-southeast:I24,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,ready-for-stop-layout,single-segment,US.HWYSEG.9CC783DC10417028,eligible-for-geometry-layout,pass
US.HWYSEG.9CC789DC10417A5A,US.HWYBUNDLE.9CC789DC10417A5A,US.HWYSTITCH.9CC789DC10417A5A,t3-southeast,T3,I22,t3-southeast,I22,AL;TN,AL;TN,,current-tier:T3;current-zone:t3-southeast;layer:selected-route;route-label:I22;route:I22;zone-route:t3-southeast:I22,current-tier:T3;current-zone:t3-southeast;layer:selected-route;route-label:I22;route:I22;zone-route:t3-southeast:I22,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,ready-for-stop-layout,single-segment,US.HWYSEG.9CC789DC10417A5A,eligible-for-geometry-layout,pass
US.HWYSEG.9CCA86DC1043AB18,US.HWYBUNDLE.9CCA86DC1043AB18,US.HWYSTITCH.9CCA86DC1043AB18,t3-southeast,T3,I37,t3-southeast,I37,,,,current-tier:T3;current-zone:t3-southeast;layer:selected-route;route-label:I37;route:I37;zone-route:t3-southeast:I37,current-tier:T3;current-zone:t3-southeast;layer:selected-route;route-label:I37;route:I37;zone-route:t3-southeast:I37,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,single-segment,US.HWYSEG.9CCA86DC1043AB18,author-zone-bounded-stop-chain,review
US.HWYSEG.9CD177DC1049B049,US.HWYBUNDLE.9CD177DC1049B049,US.HWYSTITCH.9CD177DC1049B049,t3-southeast,T3,I16,t3-southeast,I-16,,,,current-tier:T3;current-zone:t3-southeast;layer:review-connector;route-label:I16;route:I16;zone-route:t3-southeast:I16,current-tier:T3;current-zone:t3-southeast;layer:review-connector;route-label:I16;route:I16;zone-route:t3-southeast:I16,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.9CD177DC1049B049,author-zone-bounded-stop-chain,review
US.HWYSEG.BD3AB28FB6747E5C,US.HWYBUNDLE.BD3AB28FB6747E5C,US.HWYSTITCH.BD3AB28FB6747E5C,t3-texas-border,T3,I19,t3-texas-border,I-19,,,,current-tier:T3;current-zone:t3-texas-border;layer:review-connector;route-label:I19;route:I19;zone-route:t3-texas-border:I19,current-tier:T3;current-zone:t3-texas-border;layer:review-connector;route-label:I19;route:I19;zone-route:t3-texas-border:I19,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.BD3AB28FB6747E5C,author-zone-bounded-stop-chain,review
US.HWYSEG.C076C7D2E702C7D4,US.HWYBUNDLE.C076C7D2E702C7D4,US.HWYSTITCH.C076C7D2E702C7D4,t3-mountain-west,T3,,t3-mountain-west,,,,,current-tier:T3;current-zone:t3-mountain-west;layer:zone-summary,current-tier:T3;current-zone:t3-mountain-west;layer:zone-summary,zone-summary,data/t3-zone-map-diagnostics.csv,,single-segment,US.HWYSEG.C076C7D2E702C7D4,track-zone-or-backlog-identity,review
US.HWYSEG.C1E1B532E4FE8371,US.HWYBUNDLE.C1E1B532E4FE8371,US.HWYSTITCH.C1E1B532E4FE8371,t3-texas-border,T3,I610,t3-texas-border,I610,TX,TX,,current-tier:T3;current-zone:t3-texas-border;layer:selected-route;route-label:I610;route:I610;zone-route:t3-texas-border:I610,current-tier:T3;current-zone:t3-texas-border;layer:selected-route;route-label:I610;route:I610;zone-route:t3-texas-border:I610,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-terminal-stop,single-segment,US.HWYSEG.C1E1B532E4FE8371,complete-terminal-stop-chain,review
US.HWYSEG.C89FD008397BA771,US.HWYBUNDLE.C89FD008397BA771,US.HWYSTITCH.C89FD008397BA771,t3-great-lakes,T3,I74,t3-great-lakes,I-74,,,,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:I74;route:I74;zone-route:t3-great-lakes:I74,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:I74;route:I74;zone-route:t3-great-lakes:I74,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.C89FD008397BA771,author-zone-bounded-stop-chain,review
US.HWYSEG.C89FD308397BAC8A,US.HWYBUNDLE.C89FD308397BAC8A,US.HWYSTITCH.C89FD308397BAC8A,t3-great-lakes,T3,I71,t3-great-lakes,I-71,,,,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:I71;route:I71;zone-route:t3-great-lakes:I71,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:I71;route:I71;zone-route:t3-great-lakes:I71,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.C89FD308397BAC8A,author-zone-bounded-stop-chain,review
US.HWYSEG.C8B43E08398D0B65,US.HWYBUNDLE.C8B43E08398D0B65,US.HWYSTITCH.C8B43E08398D0B65,t3-great-lakes,T3,I96,t3-great-lakes,I-96,,,,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:I96;route:I96;zone-route:t3-great-lakes:I96,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:I96;route:I96;zone-route:t3-great-lakes:I96,review-connector,data/t3-zone-route-columns.csv,,single-segment,US.HWYSEG.C8B43E08398D0B65,author-zone-bounded-stop-chain,review
US.HWYSEG.F50A48189676CF52,US.HWYBUNDLE.F50A48189676CF52,US.HWYSTITCH.F50A48189676CF52,t3-mid-south,T3,I240,t3-mid-south,I240,,,,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I240;route:I240;zone-route:t3-mid-south:I240,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I240;route:I240;zone-route:t3-mid-south:I240,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,single-segment,US.HWYSEG.F50A48189676CF52,author-zone-bounded-stop-chain,review
US.HWYSEG.F5365118969C1988,US.HWYBUNDLE.F5365118969C1988,US.HWYSTITCH.F5365118969C1988,t3-mid-south,T3,I295,t3-mid-south,I295,FL,FL,,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I295;route:I295;zone-route:t3-mid-south:I295,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I295;route:I295;zone-route:t3-mid-south:I295,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-terminal-stop,single-segment,US.HWYSEG.F5365118969C1988,complete-terminal-stop-chain,review
US.HWYSEG.F633A2D654B32BF3,US.HWYBUNDLE.F633A2D654B32BF3,US.HWYSTITCH.F633A2D654B32BF3,t3-texas-border,T3,,t3-texas-border,,,,,current-tier:T3;current-zone:t3-texas-border;layer:zone-summary,current-tier:T3;current-zone:t3-texas-border;layer:zone-summary,zone-summary,data/t3-zone-map-diagnostics.csv,,single-segment,US.HWYSEG.F633A2D654B32BF3,track-zone-or-backlog-identity,review
US.HWYSEG.FF56C63308097E0C,US.HWYBUNDLE.FF56C63308097E0C,US.HWYSTITCH.FF56C63308097E0C,t3-texas-border,T3,I110,t3-texas-border,I110,,,,current-tier:T3;current-zone:t3-texas-border;layer:selected-route;route-label:I110;route:I110;zone-route:t3-texas-border:I110,current-tier:T3;current-zone:t3-texas-border;layer:selected-route;route-label:I110;route:I110;zone-route:t3-texas-border:I110,selected-route;stop-placement,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,single-segment,US.HWYSEG.FF56C63308097E0C,author-zone-bounded-stop-chain,review
