route,score,tier,rubric_version,estimated,A1,A2,A3,A4,A5,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3
I-315,21.9,T4,v1.4,true,2.4,0.0,0.0,0.0,0.0,7.4,0.0,0.0,5.0,0.0,0.6,5.5,0.0,0.0,0.0,1.1
I-335,26.8,T4,v1.4,true,0.5,0.0,0.0,0.0,0.0,6.0,8.4,0.0,5.0,1.0,1.0,1.7,0.0,0.0,0.0,3.2
I-35,80.7,T1,v1.4,true,4.0,4.5,0.8,10.0,0.6,2.3,10.0,8.0,8.0,9.4,3.0,2.2,10.0,2.4,3.6,1.8
I-355,21.8,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,6.6,1.3,5.0,6.1,0.0,1.6,0.0,0.0,1.0,0.1
I-359,27.6,T4,v1.4,true,5.4,0.0,0.5,0.0,0.0,1.6,0.1,3.1,5.0,0.8,0.3,5.5,0.0,0.0,4.0,1.4
I-35E,15.7,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,5.0,3.7,0.0,0.3,0.0,0.0,1.0,0.3
I-35W,11.4,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,5.0,3.7,0.0,0.3,0.0,0.0,1.0,0.6
I-37,47.8,T3,v1.4,true,2.6,0.0,0.0,0.0,4.8,5.0,8.6,10.0,5.0,0.4,3.6,5.0,0.0,0.0,1.0,1.8
I-370,22.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,2.7,8.4,5.0,5.9,0.0,0.0,0.0,0.0,0.0,0.2
I-375,43.0,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,4.8,6.1,10.0,5.0,6.0,0.0,3.8,0.0,0.0,5.0,2.1
I-376,31.1,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.7,5.6,10.0,5.0,3.5,0.0,4.3,0.0,0.0,0.0,2.0
I-380,32.5,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,5.8,8.6,6.4,5.0,1.2,0.0,4.1,0.0,0.0,0.0,1.3
I-381,21.5,T4,v1.4,true,1.1,0.0,0.0,0.0,0.0,1.4,0.8,2.2,5.0,0.6,2.0,7.2,0.0,0.0,0.0,1.1
I-384,23.3,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.7,5.0,5.0,0.0,2.1,0.0,0.0,4.0,1.7
I-385,20.7,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,1.2,2.7,3.2,5.0,1.6,1.0,5.3,0.0,0.0,0.0,0.8
I-39,30.3,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,5.3,10.0,1.0,5.0,5.2,0.9,2.0,0.0,0.0,0.0,0.9
I-390,25.8,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,1.3,5.1,7.0,5.0,1.4,0.4,4.2,0.0,0.0,0.0,1.4
I-391,18.6,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.3,5.0,3.4,0.0,1.9,0.0,0.0,0.0,3.1
I-393,13.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.9,5.0,1.2,0.0,0.8,0.0,0.0,0.0,4.6
I-394,15.0,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,5.0,3.7,0.0,0.3,0.0,0.0,1.0,0.4
I-395,71.0,T1,v1.4,true,10.0,0.0,10.0,0.0,0.0,0.8,5.4,10.0,5.0,9.0,4.0,0.0,0.0,10.0,5.0,1.8
I-4,43.1,T3,v1.4,true,0.0,0.0,0.0,0.0,1.9,5.7,8.6,5.7,5.0,5.7,2.2,4.3,0.0,0.0,4.0,0.0
