tier,route,node_class,route_miles,t1_node_count,parent_trunks,contact_route_count,component_id,component_route_count,component_status,repair_action,repair_basis,next_artifact
T2,I65,missing_graph_data,1776.6082200738344,0,,0,17,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I664,local_spur,39.22587279222063,0,,1,9,2,component-bridged:21,demote-to-t3-t4,local-spur,data/tier-table.csv
T2,I680,missing_graph_data,224.59659721909517,0,,0,18,1,component-bridged:21,fix-graph-contact-or-demote,missing-t1-contact-evidence,data/tier-contact-witnesses.csv
T2,I76,trunk_connector,1244.4171797436604,4,I70;I80,4,1,18,component-bridged:21,keep-for-regionalizer,touches-multiple-t1-trunks,data/tier-candidate-columns.csv
T2,I77,relief_loop,1225.3540650062364,4,I64,1,19,2,component-bridged:21,keep-with-parent-region-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv
T2,I81,relief_loop,1704.6010415783205,2,I64,1,19,2,component-bridged:21,keep-with-parent-region-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv
T2,I85,relief_loop,1376.1656231404718,2,I40,2,1,18,component-bridged:21,keep-with-parent-region-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv
T2,US2,local_spur,31.18974372317038,0,,0,20,1,component-bridged:21,demote-to-t3-t4,local-spur,data/tier-table.csv
T2,US287,trunk_connector,541.9201889358089,15,I45;I70,6,1,18,component-bridged:21,keep-for-regionalizer,touches-multiple-t1-trunks,data/tier-candidate-columns.csv
T2,US30,trunk_connector,1898.762978041829,30,I80;I84,5,1,18,component-bridged:21,keep-for-regionalizer,touches-multiple-t1-trunks,data/tier-candidate-columns.csv
T2,US6,trunk_connector,1021.5560935857612,20,I70;I80;I84;I94,5,1,18,component-bridged:21,keep-for-regionalizer,touches-multiple-t1-trunks,data/tier-candidate-columns.csv
T2,US70,trunk_connector,503.6304093279522,7,I10;I40;I55,5,1,18,component-bridged:21,keep-for-regionalizer,touches-multiple-t1-trunks,data/tier-candidate-columns.csv
T2,US80,trunk_connector,252.90870571956427,13,I10;I20,3,1,18,component-bridged:21,keep-for-regionalizer,touches-multiple-t1-trunks,data/tier-candidate-columns.csv
T2,US83,trunk_connector,298.2769331058611,3,I35;I90,2,1,18,component-bridged:21,keep-for-regionalizer,touches-multiple-t1-trunks,data/tier-candidate-columns.csv
T2,US90,relief_loop,505.79383424874084,5,I10,2,1,18,component-bridged:21,keep-with-parent-region-review,relief-loop-shares-parent-service-context,data/tier-candidate-columns.csv
