GEOID,NAME,STATE,LAT,LON,NEAREST_MI,POPULATION,LAND_SQMI,GAP_CLASS,ARTIFACT_REASON
06029,Kern County,CA,35.3466,-118.7295,79.0,906883,8135,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
05003,Ashley County,AR,33.1908,-91.7723,78.8,19018,925,candidate_access_gap,county_centroid_beyond_threshold
38067,Pembina County,ND,48.7669,-97.5454,78.6,6853,1119,candidate_access_gap,county_centroid_beyond_threshold
31103,Keya Paha County,NE,42.8755,-99.7184,78.6,987,773,candidate_access_gap,county_centroid_beyond_threshold
46005,Beadle County,SD,44.4183,-98.2794,78.5,19089,1259,candidate_access_gap,county_centroid_beyond_threshold
04011,Greenlee County,AZ,33.2389,-109.2423,78.5,9483,1843,candidate_access_gap,county_centroid_beyond_threshold
29225,Webster County,MO,37.2808,-92.8761,78.4,39265,593,candidate_access_gap,county_centroid_beyond_threshold
04003,Cochise County,AZ,31.8401,-109.7752,78.4,125504,6210,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
30033,Garfield County,MT,47.2672,-106.9960,78.3,976,4677,candidate_access_gap,county_centroid_beyond_threshold
46063,Harding County,SD,45.5966,-103.4739,78.2,1176,2672,candidate_access_gap,county_centroid_beyond_threshold
31125,Nance County,NE,41.4024,-97.9914,78.0,3366,442,candidate_access_gap,county_centroid_beyond_threshold
31107,Knox County,NE,42.6344,-97.8913,78.0,8415,1108,candidate_access_gap,county_centroid_beyond_threshold
06043,Mariposa County,CA,37.5743,-119.9117,77.9,17130,1449,candidate_access_gap,county_centroid_beyond_threshold
53009,Clallam County,WA,48.1109,-123.8899,77.7,77333,1739,candidate_access_gap,county_centroid_beyond_threshold
46079,Lake County,SD,44.0284,-97.1232,77.6,11207,563,candidate_access_gap,county_centroid_beyond_threshold
27069,Kittson County,MN,48.7760,-96.7803,77.5,4191,1099,candidate_access_gap,county_centroid_beyond_threshold
46053,Gregory County,SD,43.1751,-99.2066,77.2,3983,1015,candidate_access_gap,county_centroid_beyond_threshold
08109,Saguache County,CO,38.0317,-106.2347,77.2,6454,3169,candidate_access_gap,county_centroid_beyond_threshold
55099,Price County,WI,45.6791,-90.3597,77.1,14066,1254,candidate_access_gap,county_centroid_beyond_threshold
50007,Chittenden County,VT,44.4633,-73.0694,76.9,168309,537,candidate_access_gap,county_centroid_beyond_threshold
53019,Ferry County,WA,48.4733,-118.5336,76.7,7260,2203,candidate_access_gap,county_centroid_beyond_threshold
48195,Hansford County,TX,36.2728,-101.3569,76.7,5270,920,candidate_access_gap,county_centroid_beyond_threshold
06109,Tuolumne County,CA,38.0214,-119.9647,76.7,54993,2221,candidate_access_gap,county_centroid_beyond_threshold
53017,Douglas County,WA,47.7418,-119.6946,76.6,43189,1819,candidate_access_gap,county_centroid_beyond_threshold
26101,Manistee County,MI,44.2453,-86.3275,76.5,25058,542,candidate_access_gap,county_centroid_beyond_threshold
22075,Plaquemines Parish,LA,29.2824,-89.5761,76.4,23305,781,candidate_access_gap,county_centroid_beyond_threshold
19041,Clay County,IA,43.0812,-95.1499,76.3,16423,567,candidate_access_gap,county_centroid_beyond_threshold
53007,Chelan County,WA,47.8610,-120.6190,76.2,79076,2921,candidate_access_gap,county_centroid_beyond_threshold
55113,Sawyer County,WI,45.8650,-91.1471,76.2,18057,1258,candidate_access_gap,county_centroid_beyond_threshold
50015,Lamoille County,VT,44.6112,-72.6327,76.0,25977,461,candidate_access_gap,county_centroid_beyond_threshold
40043,Dewey County,OK,35.9780,-99.0144,75.9,4504,1000,candidate_access_gap,county_centroid_beyond_threshold
21061,Edmonson County,KY,37.2275,-86.2180,75.9,12179,303,candidate_access_gap,county_centroid_beyond_threshold
32031,Washoe County,NV,40.7313,-119.6633,75.7,486674,6316,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
48229,Hudspeth County,TX,31.4509,-105.3775,75.6,3329,4571,candidate_access_gap,county_centroid_beyond_threshold
08061,Kiowa County,CO,38.3877,-102.7568,75.4,1347,1768,candidate_access_gap,county_centroid_beyond_threshold
48073,Cherokee County,TX,31.8439,-95.1563,75.4,50824,1053,candidate_access_gap,county_centroid_beyond_threshold
30101,Toole County,MT,48.6451,-111.7335,75.3,5018,1915,candidate_access_gap,county_centroid_beyond_threshold
53003,Asotin County,WA,46.1819,-117.2278,75.3,22370,636,candidate_access_gap,county_centroid_beyond_threshold
38103,Wells County,ND,47.5809,-99.6822,75.2,3990,1271,candidate_access_gap,county_centroid_beyond_threshold
04001,Apache County,AZ,35.3851,-109.4902,75.0,66054,11198,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
19143,Osceola County,IA,43.3785,-95.6338,74.6,6149,399,candidate_access_gap,county_centroid_beyond_threshold
16035,Clearwater County,ID,46.6726,-115.6535,74.5,8810,2457,candidate_access_gap,county_centroid_beyond_threshold
20055,Finney County,KS,38.0498,-100.7400,74.5,38187,1302,candidate_access_gap,county_centroid_beyond_threshold
27071,Koochiching County,MN,48.2454,-93.7829,74.5,12072,3105,candidate_access_gap,county_centroid_beyond_threshold
21001,Adair County,KY,37.1056,-85.2814,74.4,18887,405,candidate_access_gap,county_centroid_beyond_threshold
16079,Shoshone County,ID,47.3477,-115.8851,74.4,13399,2637,candidate_access_gap,county_centroid_beyond_threshold
48357,Ochiltree County,TX,36.2787,-100.8159,74.3,9924,918,candidate_access_gap,county_centroid_beyond_threshold
48295,Lipscomb County,TX,36.2802,-100.2727,74.3,3038,932,candidate_access_gap,county_centroid_beyond_threshold
20033,Comanche County,KS,37.1814,-99.2513,74.3,1825,788,candidate_access_gap,county_centroid_beyond_threshold
30089,Sanders County,MT,47.7565,-115.1803,74.2,12615,2760,candidate_access_gap,county_centroid_beyond_threshold
37055,Dare County,NC,35.6063,-75.7675,73.9,37160,383,candidate_access_gap,county_centroid_beyond_threshold
29065,Dent County,MO,37.6031,-91.4897,73.9,14509,753,candidate_access_gap,county_centroid_beyond_threshold
22073,Ouachita Parish,LA,32.4809,-92.1516,73.5,159585,610,candidate_access_gap,county_centroid_beyond_threshold
41069,Wheeler County,OR,44.7364,-120.0269,73.5,1407,1716,candidate_access_gap,county_centroid_beyond_threshold
49023,Juab County,UT,39.7141,-112.7905,73.5,11943,3392,candidate_access_gap,county_centroid_beyond_threshold
35003,Catron County,NM,33.9016,-108.3919,73.4,3635,6924,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
31035,Clay County,NE,40.5237,-98.0509,73.2,6088,572,candidate_access_gap,county_centroid_beyond_threshold
48377,Presidio County,TX,30.0059,-104.2616,73.2,6168,3855,candidate_access_gap,county_centroid_beyond_threshold
48005,Angelina County,TX,31.2519,-94.6111,73.2,86608,798,candidate_access_gap,county_centroid_beyond_threshold
21057,Cumberland County,KY,36.7824,-85.3885,73.1,5974,305,candidate_access_gap,county_centroid_beyond_threshold
31121,Merrick County,NE,41.1698,-98.0311,73.1,7675,488,candidate_access_gap,county_centroid_beyond_threshold
35006,Cibola County,NM,34.9283,-107.9927,72.8,27211,4540,candidate_access_gap,county_centroid_beyond_threshold
30051,Liberty County,MT,48.5597,-111.0369,72.6,1993,1430,candidate_access_gap,county_centroid_beyond_threshold
47027,Clay County,TN,36.5457,-85.5457,72.6,7592,237,candidate_access_gap,county_centroid_beyond_threshold
05065,Izard County,AR,36.0949,-91.9136,72.6,13748,580,candidate_access_gap,county_centroid_beyond_threshold
53073,Whatcom County,WA,48.8427,-121.8364,72.5,226523,2108,candidate_access_gap,county_centroid_beyond_threshold
48105,Crockett County,TX,30.7175,-101.4042,72.5,2949,2807,candidate_access_gap,county_centroid_beyond_threshold
55017,Chippewa County,WI,45.0691,-91.2835,72.5,66254,1008,candidate_access_gap,county_centroid_beyond_threshold
06015,Del Norte County,CA,41.7499,-123.9810,72.4,27462,1006,candidate_access_gap,county_centroid_beyond_threshold
48421,Sherman County,TX,36.2786,-101.8993,72.4,2414,923,candidate_access_gap,county_centroid_beyond_threshold
54097,Upshur County,WV,38.9025,-80.2316,72.1,23875,355,candidate_access_gap,county_centroid_beyond_threshold
